,Ticker,Date,Time,Headline,neg,neu,pos,compound
0,AAPL,Dec-23-20,10:36AM,"Dow Jones Rallies Despite Trump Veto Threat; Apple Approaches New Buy Point, While Tesla Reverses Higher",0.0,0.844,0.156,0.4168
1,AAPL,Dec-23-20,10:36AM,20 Realistic Tech Predictions for 2021 (Part Two),0.0,1.0,0.0,0.0
2,AAPL,Dec-23-20,10:28AM,Dow Jones Stocks To Buy And Watch In December 2020: Apple Approaches New Buy Point,0.0,1.0,0.0,0.0
3,AAPL,Dec-23-20,09:57AM,"Stock Market News for Dec 23, 2020",0.0,1.0,0.0,0.0
4,AAPL,Dec-23-20,09:45AM,"Dow Jones, Stocks Open Mixed As Trump Balks At Coronavirus Bill; Clean Energy Rally Continues; Merck Rises On Covid Treatment Deal",0.0,0.798,0.202,0.5859
5,AAPL,Dec-23-20,09:45AM,Elon Musk Tried to Sell Tesla to Apple,0.0,1.0,0.0,0.0
6,AAPL,Dec-23-20,09:38AM,"Apple Snubbed Chance to Buy Tesla At $65 Billion, Says Elon Musk",0.2,0.667,0.133,-0.25
7,AAPL,Dec-23-20,09:33AM,Obvious reasons why a Tesla-crushing Apple car won't exist,0.0,1.0,0.0,0.0
8,AAPL,Dec-23-20,09:01AM,Apple Might Be Working on an Electric Car: Here's What You Should Know,0.0,1.0,0.0,0.0
9,AAPL,Dec-23-20,08:07AM,Dow Jones Futures Reverse Higher Despite Trump Threat To Veto 'Disgrace' Of A Stimulus Deal,0.0,0.824,0.176,0.4168
10,AAPL,Dec-23-20,07:45AM,"How Has Apple Soared Nearly 70% This Year, But Still Only Costs $1?",0.0,1.0,0.0,0.0
11,AAPL,Dec-23-20,07:31AM,Facebook workers say company is acting like a virus in Apple privacy battle,0.172,0.662,0.166,-0.0258
12,AAPL,Dec-23-20,07:13AM,"Trump and Stimulus, Apple and Tesla, Pfizer - 5 Things You Must Know Wednesday",0.0,1.0,0.0,0.0
13,AAPL,Dec-23-20,06:38AM,Why Apple entering the EV market is 'a good thing',0.0,0.756,0.244,0.4404
14,AAPL,Dec-23-20,06:22AM,"Tesla Faces 'Formidable Bear Case' Over Apple's EV Plans, Says Morgan Stanley",0.0,1.0,0.0,0.0
15,AAPL,Dec-23-20,06:05AM,Here's How Much You Needed to Invest In Apple 10 Years Ago to Be a Millionaire Today,0.0,1.0,0.0,0.0
16,AAPL,Dec-23-20,04:58AM,Apple adds $102bn to its market value on back of self-driving car plans,0.0,0.833,0.167,0.34
17,AAPL,Dec-23-20,03:59AM,IndyBests best tech buys of 2020: From headphones to speakers and projectors,0.0,0.724,0.276,0.6369
18,AAPL,Dec-23-20,01:59AM,"Japan stocks end higher on gains in drugmakers, tech stocks",0.0,0.789,0.211,0.34
19,AAPL,Dec-22-20,10:11PM,Elon Musk says Apple's boss snubbed takeover deal,0.3,0.7,0.0,-0.4588
